bathrooms,distance,district,exterior,hasLift,latitude,longitude,neighborhood,price,propertyType,rooms,size,status,avg_income_index,density_val,price_m2
5,2444.0,Sarrià-Sant Gervasi,false,false,41.4118644,2.1076647,Vallvidrera - El Tibidabo i les Planes,2750000.0,chalet,6,800.0,good,20118.0,4.0,3437.5
2,2249.0,Sarrià-Sant Gervasi,false,false,41.4254327,2.1016874,Vallvidrera - El Tibidabo i les Planes,510000.0,chalet,4,200.0,good,20118.0,4.0,2550.0
5,1685.0,Sarrià-Sant Gervasi,false,false,41.4253985,2.0929354,Vallvidrera - El Tibidabo i les Planes,1750000.0,chalet,6,546.0,good,20118.0,4.0,3205.128205128205
2,439.0,Gràcia,true,true,41.4092016,2.1587664,El Camp d'En Grassot i Gràcia Nova,349000.0,flat,4,90.0,good,18791.16,545.0,3877.777777777778
1,820.0,Sants-Montjuïc,true,true,41.3628229,2.1377974,La Marina del Port,185000.0,flat,3,72.0,good,12917.0,247.0,2569.4444444444443
5,829.0,Sarrià-Sant Gervasi,false,false,41.40973,2.12148,Sarrià,3000000.0,chalet,5,600.0,renew,25727.3125,83.0,5000.0
5,2743.0,Sarrià-Sant Gervasi,false,false,41.4118001,2.1113062,Sarrià,2100000.0,chalet,5,500.0,good,25727.3125,83.0,4200.0
1,2933.0,Eixample,false,true,41.3776585,2.1536206,Sant Antoni,319000.0,flat,2,160.0,good,16867.375,484.0,1993.75
3,3169.0,Eixample,true,true,41.3818376,2.1502826,La Nova Esquerra de l'Eixample,595000.0,flat,4,140.0,good,19287.175,437.0,4250.0
6,2468.0,Sarrià-Sant Gervasi,false,false,41.4152481,2.108565,Vallvidrera - El Tibidabo i les Planes,1850000.0,chalet,6,380.0,good,20118.0,4.0,4868.421052631579
8,2993.0,Sarrià-Sant Gervasi,false,false,41.4007566,2.1081092,Sarrià,3000000.0,chalet,5,672.0,good,25727.3125,83.0,4464.285714285715
5,2474.0,Sarrià-Sant Gervasi,false,false,41.4143264,2.108542,Vallvidrera - El Tibidabo i les Planes,830000.0,chalet,5,380.0,good,20118.0,4.0,2184.2105263157896
1,2850.0,Les Corts,true,true,41.3786699,2.1140983,La Maternitat i Sant Ramon,325000.0,flat,2,75.0,good,19557.266666666666,125.0,4333.333333333333
6,2453.0,Sarrià-Sant Gervasi,false,false,41.4160601,2.1084237,Vallvidrera - El Tibidabo i les Planes,2750000.0,chalet,8,483.0,good,20118.0,4.0,5693.581780538302
3,709.0,Gràcia,false,true,41.406329,2.1663088,El Camp d'En Grassot i Gràcia Nova,790000.0,flat,4,215.0,good,18791.16,545.0,3674.4186046511627
2,2891.0,Les Corts,true,true,41.3825511,2.137291,Les Corts,595000.0,flat,3,90.0,good,21757.4,331.0,6611.111111111111
6,1763.0,Sarrià-Sant Gervasi,false,false,41.4256985,2.0946354,Vallvidrera - El Tibidabo i les Planes,1750000.0,chalet,6,546.0,good,20118.0,4.0,3205.128205128205
2,2615.0,Sants-Montjuïc,true,true,41.3731147,2.1546618,El Poble Sec - Parc de Montjuïc,339000.0,flat,2,76.0,good,12629.916666666666,88.0,4460.526315789473
2,2825.0,Les Corts,true,true,41.3820205,2.1273829,La Maternitat i Sant Ramon,540000.0,flat,4,140.0,good,19557.266666666666,125.0,3857.1428571428573
2,2992.0,Eixample,false,false,41.3799049,2.1505107,La Nova Esquerra de l'Eixample,460000.0,flat,4,130.0,good,19287.175,437.0,3538.4615384615386
2,3181.0,Eixample,false,false,41.3824229,2.1491303,La Nova Esquerra de l'Eixample,600000.0,flat,4,300.0,good,19287.175,437.0,2000.0
1,1527.0,Sants-Montjuïc,false,true,41.3699827,2.1373603,La Bordeta,214000.0,flat,3,69.0,good,15354.0,342.0,3101.449275362319
