neighborhood_id,year,density_val
Q377070,2021,124.0
Q3750558,2021,328.0
Q2057331,2020,130.0
Q2736697,2020,252.0
Q3294440,2021,139.0
Q3043699,2021,80.0
Q3750558,2020,332.0
Q524311,2020,458.0
Q3596095,2020,1.0
Q3297896,2021,206.0
Q3773169,2021,355.0
Q3320699,2021,205.0
Q3298510,2020,44.0
Q6273541,2020,196.0
Q3773462,2021,298.0
Q2979686,2021,381.0
Q3813816,2021,521.0
Q3321805,2020,357.0
Q2994821,2020,545.0
Q3298492,2020,79.0
Q3310216,2021,4.0
Q3320722,2020,294.0
Q3320806,2020,462.0
Q2442135,2021,199.0
Q980253,2020,88.0
Q2741611,2021,375.0
Q2390761,2020,212.0
Q3750926,2020,457.0
Q3321657,2021,115.0
Q3750859,2020,349.0
Q17154,2020,265.0
Q3294440,2020,142.0
Q3750926,2021,451.0
Q3297056,2021,123.0
Q15225338,2020,92.0
Q3320722,2021,293.0
Q1932090,2021,215.0
Q3294602,2020,528.0
Q3045547,2020,287.0
Q6746220,2021,128.0
Q2994821,2021,537.0
Q2107762,2020,360.0
Q3043699,2020,83.0
Q3596096,2021,593.0
Q3750932,2021,130.0
Q3596095,2021,1.0
Q3297896,2020,211.0
Q3321805,2021,349.0
Q3298492,2021,79.0
Q1167101,2020,101.0
Q3320705,2021,353.0
Q3297889,2020,145.0
Q3750551,2021,537.0
Q3813818,2020,360.0
Q3320699,2020,208.0
Q3320806,2021,455.0
Q1404773,2021,217.0
Q1758503,2021,429.0
Q3320857,2021,39.0
Q2562684,2021,43.0
Q1425291,2021,115.0
Q2390761,2021,212.0
Q3751072,2020,23.0
Q3596096,2020,601.0
Q542473,2020,255.0
Q1932090,2020,215.0
Q3389521,2020,287.0
Q2476184,2020,399.0
Q3750932,2020,133.0
Q720994,2020,484.0
Q3750929,2020,395.0
Q3319496,2021,73.0
Q3298502,2021,25.0
Q3750551,2020,539.0
Q3296693,2021,322.0
Q1425291,2020,114.0
Q3310216,2020,4.0
Q3291762,2020,350.0
Q3321797,2020,243.0
Q3751076,2021,242.0
Q3750940,2021,17.0
Q2470217,2020,501.0
Q980253,2021,86.0
Q3297889,2021,144.0
Q2107762,2021,336.0
Q3813818,2021,352.0
Q2736444,2020,110.0
Q2470217,2021,493.0
Q990510,2020,313.0
Q2442135,2020,209.0
Q15225338,2021,90.0
Q3320705,2020,353.0
Q3751386,2021,86.0
Q3320857,2020,40.0
Q542473,2021,253.0
Q3813816,2020,529.0
Q3773462,2020,300.0
Q3389521,2021,280.0
Q3751076,2020,247.0
Q2736697,2021,248.0
Q2979686,2020,388.0
Q1167101,2021,100.0
Q2476184,2021,394.0
Q2057331,2021,129.0
Q1404773,2020,219.0
Q3750929,2021,386.0
Q524311,2021,452.0
Q3320716,2020,192.0
Q1904302,2021,211.0
Q3291762,2021,342.0
Q3296693,2020,331.0
Q3753110,2020,342.0
Q2736444,2021,109.0
Q6746220,2020,130.0
Q3750859,2021,339.0
Q3750940,2020,17.0
Q1758503,2020,437.0
Q3045547,2021,282.0
Q6273541,2021,193.0
Q377070,2020,128.0
Q3319496,2020,73.0
Q3320716,2021,186.0
Q1026658,2020,437.0
Q3321657,2020,117.0
Q3297875,2020,465.0
Q1627690,2021,255.0
Q990510,2021,310.0
Q1627690,2020,255.0
Q3297875,2021,455.0
Q3751386,2020,87.0
Q2741611,2020,385.0
Q3298510,2021,43.0
Q720994,2021,473.0
Q1904302,2020,209.0
Q2562684,2020,44.0
Q3294602,2021,518.0
Q3751072,2021,23.0
Q1026658,2021,426.0
Q3298502,2020,25.0
Q3319498,2020,346.0
Q3297056,2020,125.0
Q3319498,2021,345.0
Q3753110,2021,337.0
Q17154,2021,268.0
Q3321797,2021,240.0
Q3773169,2020,356.0
