property_id,propertyType,price,size,rooms,bathrooms,municipality,neighborhood,neighborhood_id,district,latitude,longitude,hasLift,exterior,status,distance,data_year
,,,,,,,,,,,,,,,,2021
1394150,chalet,2750000.0,800.0,6,5,Barcelona,Vallvidrera - El Tibidabo i les Planes,Q3310216,Sarrià-Sant Gervasi,41.4118644,2.1076647,,false,good,2444.0,2020
25435010,chalet,510000.0,200.0,4,2,Barcelona,Vallvidrera - El Tibidabo i les Planes,Q3310216,Sarrià-Sant Gervasi,41.4254327,2.1016874,,false,good,2249.0,2020
25753253,chalet,1140000.0,515.0,5,4,Sant Cugat del Vallès,,,Valldoreix,41.4632749,2.0441524,,false,good,3007.0,2020
25753374,chalet,999000.0,420.0,5,4,Sant Cugat del Vallès,,,Arxius,41.4620446,2.073273,,false,good,801.0,2020
25801145,chalet,1450000.0,401.0,5,3,Sant Cugat del Vallès,,,La Floresta - Les Planes,41.444819,2.0755035,,false,good,1305.0,2020
25868030,chalet,3730000.0,491.0,9,4,Barcelona,Sant Gervasi - La Bonanova,Q3321657,Sarrià-Sant Gervasi,41.4135558,2.1296544,,false,good,468.0,2020
26977975,chalet,999000.0,430.0,4,3,Sant Cugat del Vallès,,,Arxius,41.4599089,2.0708757,,false,good,789.0,2020
27528727,chalet,1500000.0,600.0,6,7,Sant Cugat del Vallès,,,Golf,41.4646271,2.0747311,,false,good,996.0,2020
27869059,chalet,1750000.0,546.0,6,5,Barcelona,Vallvidrera - El Tibidabo i les Planes,Q3310216,Sarrià-Sant Gervasi,41.4253985,2.0929354,,false,good,1685.0,2020
28142687,flat,128994.0,65.0,2,1,Hospitalet de Llobregat,Pubilla Cases,,Can Serra - Pubilla Cases,41.3714854,2.10096,true,false,good,3061.0,2020
29369498,flat,349000.0,90.0,4,2,Barcelona,El Camp d'En Grassot i Gràcia Nova,Q2994821,Gràcia,41.4092016,2.1587664,true,true,good,439.0,2020
29394692,chalet,1200000.0,360.0,6,3,Sant Just Desvern,,,,41.3920649,2.0786307,,false,good,2767.0,2020
30039114,flat,205000.0,65.0,2,1,Cornellà de Llobregat,,,Centre,41.3545381,2.0694434,true,true,good,1437.0,2020
30538104,chalet,3750000.0,495.0,12,4,Barcelona,Sant Gervasi - La Bonanova,Q3321657,Sarrià-Sant Gervasi,41.4133508,2.1304364,,false,good,526.0,2020
30648057,flat,227000.0,75.0,3,1,El Prat de Llobregat,,,Plaça de Catalunya,41.3230514,2.0932143,true,true,good,1854.0,2020
